Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules
Container ID,"Unique identifier for specific container of sample, assigned by DCC or contributor??. For example, distinct aliquots of a sample will have the same Sample ID but different Container IDs.",,,FALSE,,Biospecimen,,,
Sample Type,Type of biological material comprising the sample,,,FALSE,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=693366131,Biospecimen,,,
Parent Sample ID,Identifier from Parent Sample from which Sample was derived (if applicable),,,FALSE,,Biospecimen,,,
Parent Sample Type,Type of Parent Sample,,Parent Sample ID,FALSE,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=693366131,Biospecimen,,,
Age At Biospecimen Collection (Days),Age (in days) of participant at time of biospecimen collection,,,FALSE,,Biospecimen,,,
Sample Availability,Whether or not the container (or sample??) is available for sharing through the Virtual Biorepository,"Available, Unavailable",,FALSE,,Biospecimen,,,
Volume,Amount of sample in container,,,FALSE,,Biospecimen,,,
Volume Unit,Unit of sample volume,,,FALSE,,Biospecimen,,,
Laboratory Procedure,Procedure by which Sample was derived from Parent Sample,,,FALSE,,Biospecimen,,,
Biospecimen Storage,Method by which Sample is stored,,,FALSE,,Biospecimen,,,
Data File,,,"Data Access, File ID, File Name, Data Category, Data Type, Experimental Strategy, Access URL, Format, Size, Participant ID, Sample ID",FALSE,,,,"Study, Participant, Biospecimen",
Data Access,Type of access control on this file,"Controlled, Registered, Open",,FALSE,,Data File,,,
File ID,"File identifier, assigned by DCC??",,,FALSE,,Data File,,,
File Name,"Name of file, assigned by data contributor??",,,FALSE,,Data File,,,
Data Category,"General category of data in file, e.g. Clinical; Genomic; Proteomic; Metabolomic",,,FALSE,,Data File,,,
Data Type,"Specific type of data contained in file, e.g. Simple nucleotide variations; aligned reads; gVCF",,,FALSE,,Data File,,,
Experimental Strategy,"Specific experimental method used to obtain data in file, e.g. Whole-genome sequencing; LCMS metabolomics",,,FALSE,,Data File,,,
Access URL,Storage location for this file ??,,,FALSE,,Data File,,,
Format,Format of file,,,FALSE,,Data File,,,
Size,Size of file,,,FALSE,,Data File,,,
Participant ID,List of Participant IDs for participants associated with this file,,,FALSE,,Data File,,,list
Sample ID,List of Collection?? IDs for biospecimens associated with this file,,,FALSE,,Data File,,,list
